Name;EnumNumber;Explanation
Ampersand;28;The invocation operator '&'.
And;53;The logical and operator '-and'.
AndAnd;26;The (unimplemented) operator '&&'.
As;94;The type conversion operator '-as'.
Assembly;165;The 'assembly' keyword
AtCurly;23;The opening token of a hash expression '@{'.
AtParen;22;The opening token of an array expression '@('.
Band;56;The bitwise and operator '-band'.
Base;168;The 'base' keyword
Begin;119;The 'begin' keyword.
Bnot;52;The bitwise not operator '-bnot'.
Bor;57;The bitwise or operator '-bor'.
Break;120;The 'break' keyword.
Bxor;58;The bitwise exclusive or operator '-xor'.
Catch;121;The 'catch' keyword.
Ccontains;87;The case sensitive contains operator '-ccontains'.
Ceq;76;The case sensitive equal operator '-ceq'.
Cge;78;The case sensitive greater than or equal operator '-cge'.
Cgt;79;The case sensitive greater than operator '-cgt'.
Cin;89;The case sensitive in operator '-cin'.
Class;122;The 'class' keyword.
Cle;81;The case sensitive less than or equal operator '-cle'.
Clike;82;The case sensitive like operator '-clike'.
Clt;80;The case sensitive less than operator '-clt'.
Cmatch;84;The case sensitive match operator '-cmatch'.
Cne;77;The case sensitive not equal operator '-cne'.
Cnotcontains;88;The case sensitive not contains operator '-cnotcontains'.
Cnotin;90;The case sensitive not in operator '-notin'.
Cnotlike;83;The case sensitive notlike operator '-cnotlike'.
Cnotmatch;85;The case sensitive not match operator '-cnotmatch'.
Colon;99;The PS class base class and implemented interfaces operator ':'. Also used in base class ctor calls.
ColonColon;34;The static member access operator '::'.
Comma;30;The unary or binary array operator ','.
Command;166;The 'command' keyword
Comment;10;A single line comment, or a delimited comment.
Configuration;155;"The ""configuration"" keyword"
Continue;123;The 'continue' keyword.
Creplace;86;The case sensitive replace operator '-creplace'.
Csplit;91;The case sensitive split operator '-csplit'.
Data;124;The 'data' keyword.
Define;125;The (unimplemented) 'define' keyword.
Divide;38;The division operator '/'.
DivideEquals;46;The division assignment operator '/='.
Do;126;The 'do' keyword.
DollarParen;24;The opening token of a sub-expression '$('.
Dot;35;The instance member access or dot source invocation operator '.'.
DotDot;33;The range operator '..'.
DynamicKeyword;156;The token kind for dynamic keywords
Dynamicparam;127;The 'dynamicparam' keyword.
Else;128;The 'else' keyword.
ElseIf;129;The 'elseif' keyword.
End;130;The 'end' keyword.
EndOfInput;11;Marks the end of the input script or file.
Enum;161;The 'enum' keyword
Equals;42;The assignment operator '='.
Exclaim;36;The logical not operator '!'.
Exit;131;The 'exit' keyword.
Filter;132;The 'filter' keyword.
Finally;133;The 'finally' keyword.
For;134;The 'for' keyword.
Foreach;135;The 'foreach' keyword.
Format;50;The string format operator '-f'.
From;136;The (unimplemented) 'from' keyword.
Function;137;The 'function' keyword.
Generic;7;A token that is only valid as a command name, command argument, function name, or configuration name. It may contain characters not allowed in identifiers. Tokens with this kind are always instances of StringLiteralToken or StringExpandableToken if the token contains variable references or subexpressions.
HereStringExpandable;15;A double quoted here string literal. Tokens with this kind are always instances of StringExpandableToken. even if there are no nested tokens to expand.
HereStringLiteral;14;A single quoted here string literal. Tokens with this kind are always instances of StringLiteralToken.
Hidden;167;The 'hidden' keyword
Icontains;71;The case insensitive contains operator '-icontains' or '-contains'.
